created_at,che,coca-cola,cocar,femsa,guevara,ingrid,iphonecon,méxico,oaxaca,takis
2020-01-01T00:00:00.000Z,0,149,61,1,0,0,0,248,18,0
2020-02-01T00:00:00.000Z,0,18,86,0,0,827,0,224,10,1
2020-03-01T00:00:00.000Z,0,35,69,4,0,0,0,31,2,1
2020-04-01T00:00:00.000Z,0,40,102,0,0,0,0,57,2,0
2020-05-01T00:00:00.000Z,0,53,95,0,0,0,0,39,20,0
2020-06-01T00:00:00.000Z,1,203,162,705,1,0,0,101,8,0
2020-07-01T00:00:00.000Z,0,65,127,6,0,0,0,93,1,1
2020-08-01T00:00:00.000Z,0,79,135,16,0,0,0,30,779,646
2020-09-01T00:00:00.000Z,0,265,76,29,0,0,0,27,16,1
2020-10-01T00:00:00.000Z,835,29,91,7,835,0,835,15,111,0
2020-11-01T00:00:00.000Z,58,16,52,5,56,0,57,27,13,1
2020-12-01T00:00:00.000Z,3,20,53,1,3,0,3,53,2,0
