created_at,cdmx,che,coca-cola,cocar,femsa,guevara,ingrid,iphonecon,méxico,oaxaca
1577836800,3,0,0,1,0,0,0,0,6,0
1577923200,7,0,1,2,0,0,0,0,5,0
1578009600,2,0,29,5,0,0,0,0,6,0
1578096000,12,0,4,1,0,0,0,0,0,0
1578182400,5,0,0,1,0,0,0,0,1,1
1578268800,6,0,3,2,0,0,0,0,14,1
1578355200,2,0,2,1,0,0,0,0,3,0
1578441600,1,0,0,2,0,0,0,0,7,4
1578528000,8,0,0,1,0,0,0,0,0,9
1578614400,0,0,2,1,0,0,0,0,1,1
1578700800,3,0,0,1,0,0,0,0,2,0
1578787200,6,0,1,2,0,0,0,0,7,0
1578873600,0,0,0,2,0,0,0,0,3,0
1578960000,1,0,0,3,0,0,0,0,2,0
1579046400,5,0,8,3,0,0,0,0,6,0
1579132800,1,0,0,1,0,0,0,0,5,0
1579219200,0,0,1,6,0,0,0,0,2,0
1579305600,0,0,0,2,0,0,0,0,4,0
1579392000,2,0,1,0,0,0,0,0,1,1
1579478400,0,0,0,2,0,0,0,0,0,0
1579564800,2,0,4,3,0,0,0,0,0,0
1579651200,0,0,22,2,0,0,0,0,2,0
1579737600,1,0,36,1,1,0,0,0,49,0
1579824000,10,0,16,2,0,0,0,0,107,0
1579910400,0,0,7,1,0,0,0,0,4,0
1579996800,0,0,5,3,0,0,0,0,4,0
1580083200,3,0,2,3,0,0,0,0,4,0
1580169600,0,0,2,0,0,0,0,0,2,0
1580256000,0,0,1,2,0,0,0,0,1,0
1580342400,0,0,2,3,0,0,0,0,0,0
1580428800,2,0,0,2,0,0,0,0,0,1
1580515200,0,0,0,1,0,0,0,0,1,1
1580601600,0,0,0,0,0,0,0,0,1,0
1580688000,0,0,1,1,0,0,0,0,1,1
1580860800,0,0,1,1,0,0,0,0,0,0
1580947200,0,0,5,2,0,0,0,0,3,0
1581033600,0,0,2,1,0,0,0,0,0,2
1581120000,0,0,0,0,0,0,0,0,1,1
1581206400,0,0,1,7,0,0,0,0,1,0
1581292800,1,0,1,3,0,0,0,0,5,0
